
FOISK-SHTC3;0:0:18;19.0;16.0;-999.0;Greška u slanju podataka
FOI1-BME280;0:0:20;6.3;54.9;1006.5;Greška u slanju podataka
FOIKŽ-DHT11;0:0:20;6.8;-999.0;-999.0;Greška u slanju podataka
FOI3-SHTC3;0:0:25;21.0;34.0;-999.0;Greška u slanju podataka
FOIZA-SHTC3;0:0:30;23.1;33.1;-999.0;Greška u slanju podataka
FOI2-DHT11;0:0:30;22.4;-999.0;-999.0;Greška u slanju podataka
FOI3-SHTC3;0:30:26;20.0;35.0;-999.0;Greška u slanju podataka
FOISK-SHTC3;0:0:18;19.0;16.0;-999.0;Greška u slanju podataka
FOI1-BME280;0:0:20;6.3;54.9;1006.5;Greška u slanju podataka
FOIKŽ-DHT11;0:0:20;6.8;-999.0;-999.0;Greška u slanju podataka
FOI3-SHTC3;0:0:25;21.0;34.0;-999.0;Greška u slanju podataka
FOIZA-SHTC3;0:0:30;23.1;33.1;-999.0;Greška u slanju podataka
FOI2-DHT11;0:0:30;22.4;-999.0;-999.0;Greška u slanju podataka
FOI3-SHTC3;0:30:26;20.0;35.0;-999.0;Greška u slanju podataka
FOISK-SHTC3;0:0:18;19.0;16.0;-999.0;Greška u slanju podataka
FOI1-BME280;0:0:20;6.3;54.9;1006.5;Greška u slanju podataka
FOIKŽ-DHT11;0:0:20;6.8;-999.0;-999.0;Greška u slanju podataka
FOI3-SHTC3;0:0:25;21.0;34.0;-999.0;Greška u slanju podataka
FOIZA-SHTC3;0:0:30;23.1;33.1;-999.0;Greška u slanju podataka
FOI2-DHT11;0:0:30;22.4;-999.0;-999.0;Greška u slanju podataka
FOI3-SHTC3;0:30:26;20.0;35.0;-999.0;Greška u slanju podataka
